# Cac so kinh te chung cua game (KHONG phai vang theo tung level - xem level-rewards.csv cho cai do).
# Sua so o cot "value", luu file. Ap dung cho dev/production server gan nhu ngay lap tuc (poll moi ~4s,
# khong can F5). Rieng 2 dong "starter..." chi anh huong luc vi duoc tao MOI (nguoi choi chua tung mo game
# tren trinh duyet nay) - khong bao gio ghi de len vi da co hoat dong that (da kiem vang/mua gi do).
#
# key                              | y nghia
# starterGold                      | vang nguoi choi moi bat dau co
# starterBoosterRadiusOvercharge   | so vien Radius Overcharge tang luc dau
# starterBoosterPrismShot          | so vien Prism Shot tang luc dau
# starterBoosterChainSort          | so vien Chain Sort tang luc dau
# boosterPriceRadiusOvercharge     | gia 1 vien Radius Overcharge o Shop
# boosterPricePrismShot            | gia 1 vien Prism Shot o Shop
# boosterPriceChainSort            | gia 1 vien Chain Sort o Shop
# dailyLoginDay1..dailyLoginDay7   | vang thuong Daily Login theo THU THAT trong tuan: Day1=Thu Hai (T2),
#                                  | Day2=Thu Ba (T3), Day3=Thu Tu (T4), Day4=Thu Nam (T5), Day5=Thu Sau (T6),
#                                  | Day6=Thu Bay (T7), Day7=Chu Nhat (CN). T2-T6 tra CUNG mot muc vang co
#                                  | dinh (10). T7-CN KHONG tra
#                                  | vang (gia tri 0) - T7 tang 1 luot Radius Overcharge, CN tang 1 luot
#                                  | Prism Shot (WEEKEND_BOOSTER_PERK trong economy.ts). Rieng ngay 13 hang
#                                  | thang luon tang 1 luot Chain Sort, du roi vao thu nao
#                                  | (CHAIN_SORT_BONUS_DAY_OF_MONTH trong economy.ts).
# rewardTrackCycle1..5             | Blue Emerald cua tung ruong tren thanh Reward Track o man Home
#                                  | (moi 1 level thang = day 1 moc; day du 5 moc = 5 level thi mo duoc
#                                  |  ruong). Ruong tu chu ky 6 tro di tu dong tang 25%/chu ky.
# levelMilestoneBonus10..50        | thuong THEM (cong them vao thuong level binh thuong) khi thang LAN DAU
#                                  | cac level moc hang chuc 10/20/30/40/50 - tang dan qua tung moc, roi vao
#                                  | khoang 2/3 - 3/4 gia 1 booster (xem GDD.md muc 10.4)
# costumePrice_rune-cannon         | gia skin Rune Cannon, tinh bang Blue Emerald
# costumePrice_spider-cannon       | gia skin Web-Slinger Cannon, tinh bang Blue Emerald
# costumePrice_viking-cannon       | gia skin Viking Cannon, tinh bang Blue Emerald
# costumePrice_cat-cannon          | gia skin Cat Cannon, tinh bang Blue Emerald
key,value
starterGold,100
starterBoosterRadiusOvercharge,1
starterBoosterPrismShot,1
starterBoosterChainSort,1
boosterPriceRadiusOvercharge,100
boosterPricePrismShot,100
boosterPriceChainSort,150
dailyLoginDay1,10
dailyLoginDay2,10
dailyLoginDay3,10
dailyLoginDay4,10
dailyLoginDay5,10
dailyLoginDay6,0
dailyLoginDay7,0
rewardTrackCycle1,500
rewardTrackCycle2,600
rewardTrackCycle3,750
rewardTrackCycle4,900
rewardTrackCycle5,1250
levelMilestoneBonus10,65
levelMilestoneBonus20,75
levelMilestoneBonus30,90
levelMilestoneBonus40,100
levelMilestoneBonus50,115
costumePrice_rune-cannon,500
costumePrice_spider-cannon,1000
costumePrice_viking-cannon,1300
costumePrice_cat-cannon,1800
